🇨🇳央视频道🇨🇳,#genre#
🛰️卫视频道🛰️,#genre#
广西卫视,http://27.40.16.70:8114/GD_CUCC/G_GUANGXI-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
北京卫视,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225502/index.m3u8
河北卫视,http://27.40.16.70:8114/GD_CUCC/G_HEBEI-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
海南卫视,http://27.40.16.70:8114/GD_CUCC/G_HAINAN-HQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
海南卫视,http://116.162.6.191/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel62/index.m3u8
辽宁卫视,http://58.248.112.205:8006/GD_CUCC/G_LIAONING-CQ.m3u8?Authinfo=3iRp8RZG1d3hGsaPmj%2FtHURqeVO49Tnq6K%2BWCd0TWOt4NHMHVaPey3ntJx7niV8g
重庆卫视,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225601/index.m3u8
吉林卫视,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225598/index.m3u8
吉林卫视,http://27.40.16.70:8114/GD_CUCC/G_JILIN-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
黑龙江卫视,http://27.40.16.70:8114/GD_CUCC/G_HEILONGJIANG-CQ.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
湖南电影,http://223.159.8.95:8099/tsfile/live/1001_1.m3u8
湖南都市,http://223.159.8.95:8099/tsfile/live/1002_1.m3u8
湖南国际,http://223.159.8.95:8099/tsfile/live/1007_1.m3u8
湖南经视,http://223.159.8.95:8099/tsfile/live/1006_1.m3u8
湖南娱乐,http://223.159.8.95:8099/tsfile/live/1000_1.m3u8
湖南电视剧,http://223.159.8.95:8099/tsfile/live/1004_1.m3u8
🇭🇰港澳台🇭🇰,#genre#
凤凰中文,http://58.223.166.16/live2.rxip.sc96655.com/live/test1_4000.m3u8
凤凰中文,http://180.143.82.217:8181/tsfile/live/1014_1.m3u8
凤凰中文,http://5f11df.tv.netsite.cc/proxy/1846789161/1846789161.m3u8
凤凰资讯,http://116.162.6.191/1301-txt.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
凤凰资讯,https://z02.ubtvfans.com/live/rx1/2811/33a7203bc62f06ac6919c464a7749544/index.m3u8
凤凰资讯,http://116.236.236.226:7003/live/PhxInfoNewsLow/hls.m3u8
凤凰资讯,http://116.236.236.226:7003/live/PhxInfoNews/hls.m3u8
凤凰资讯,http://58.223.166.16/live2.rxip.sc96655.com/live/test2_4000.m3u8
凤凰香港,http://120.79.160.134:8066/HK/fhxg/hls.m3u8
凤凰香港,http://line.premiumpowers.net/play/live.php?mac=00:1A:79:73:45:10&extension=ts&stream=153402
凤凰香港,https://z02.ubtvfans.com/live/rx1/2810/babd6519bebc0baac3da4c6a72c8351e/index.m3u8
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MA5A4571836345718363&ct=19234&tsum=9d461ede3a5ecfa182b75574f86ae56a
凤凰香港,http://histar-proxy.isus.cc/phtv-hk
凤凰香港,http://223.71.206.22:30080/HK/fhxg/hls.m3u8
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰香港,http://154.9.228.245:741/smt.php?id=hkphoenix_twn
凤凰香港,https://live.yzd.jialiangos.com:4443/live/fhw/184
🏆咪咕体育🏆,#genre#
🥝精品频道🥝,#genre#
金鹰纪实,http://223.159.8.95:8099/tsfile/live/1009_1.m3u8
