龙江联通,rtp://239.3.1.133:8016
CCTV11,http://123.189.36.39:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路48』
CCTV16,http://14.121.146.11:554/udp/239.77.0.165:5146
浙江卫视,http://cdn.jdshipin.com:8880/ysp.php?id=zjws$LR•IPV4『线路101』
江苏卫视,http://120.234.5.29:6000/udp/239.20.0.170:2138$LR•IPV4『线路115』
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8$LR•IPV4『线路1』
CCTV9,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002144/index.m3u8
湖北卫视,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路152』
东方卫视,http://221.14.197.184:4022/rtp/225.1.4.85:1114$LR•IPV4『线路55』
CCTV9,http://27.11.53.41:8004/udp/225.0.4.131:7980$LR•IPV4『线路41』
淄博生活,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000294/index.m3u8
云南卫视,http://119.122.214.182:4022/udp/239.253.43.37:5146
CCTV2,http://113.86.204.79:9999/udp/239.77.0.137:5146
安徽卫视,https://jrys.haycker.eu.org:4443/play/50?token=98604b785a0063d80a49f93b25b5cb40$LR•IPV4『线路95』
CCTV9,http://119.62.36.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路51』
黑龙江卫视,http://jxcbn.ws-cdn.gitv.tv/hls/HEILJHD/index.m3u8?gMac=unknown&livodToken=64cde00fa51eb520daec6aa6c1e3e90225906560d67b2607381a34d4431ebcc6_1720508553_604800&fromCDN=ws$LR•IPV4『线路170』
NewTv金牌综艺,http://[2409:8087:74d9:21::6]/270000001128/9900000112/index.m3u8
家有萌宝2,https://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/81f9af4e6a6f41daa48c6c0091e4d66b/1200.m3u8
CCTV8,http://58.248.112.230:8114/GD.m3u8?Authinfo=56fbZo0WT6rfM%2FXuA%2B6zBYZxg8b1eRG7LTk8x07GrI44Cftlba08rT1Q6udDNxyt&p=GITV&area=GD_CUCC&partnerCode=GD_CUCC&token=0C760427464F16BC52147D30B20FE4AFCF076375187B56B35E8BDB02A2F6902DE9292062EA71D873A44BBEEB2412BDB1EC6FB05780A8EA269429663960F75A0E38AD629F8C7EE56B792DC687DBB007AA5A7E6BA759697151C58F0015A49D684681688F54CF181FEA9885C669F98E6157C28D65F01F79AD703ABEC36AB5501CEAAAA270038E8B9D34B33962FE84B6D2A996DBE32DF2BA88F913DE2ED98DD12A30&version=0.0.0.0&apkVersion=4.2.19&mac=fc:57:03:56:49:16&multicast=0&platform=LIVE&gAreaId=CHN&gAppChannel=DEFAULT&gSoftTermId=TERMINAL&gManufacturer=Hisense&gModel=IP108H&gMac=fc:57:03:56:49:16&gStbId=00000444000710800001FC5703564916&gOsType=android&gOsVersion=4.4.2&gApiLevel=19&gAppVersionCode=4219&gAppVersionName=4.2.19&gDowngrade=EMERGENCY&gProductLineCode=LIVOD&gRomVersion=3.17.2.4602&gTimestamp=1714142312998&gRequests=1&gThirdPartyCDN=0&gGroupCode=&gUserId=002040101532912&isIty=0&gCityCode=DEFAULT&verType=0&Fsv_Tgid=515e9fb1a10697de&FvSeid=88fe5578aef360be&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=18131&Fsv_chan_hls_se_idx=56&Fsv_TBt=8466856&Fsv_ShiftEnable=1&Fsv_ShiftTsp=120&Fsv_SV_PARAM1=0&Fsv_otype=0&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-8-CQ&Fsv_CMSID=GD_CUCC
广东体育,http://183.52.44.18:11/udp/239.77.0.6:5146
CCTV1,http://119.129.205.172:4000/udp/239.77.0.86:5146
海南卫视,http://iku.sunnyli.link:4144/udp/239.252.219.178:5140$LR•IPV4『线路113』
CCTV8,http://113.93.49.146:2000/udp/239.77.0.172:5146
延边卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001470/index.m3u8$LR•IPV6『线路3』
CCTV13,http://183.33.57.194:8686/udp/239.253.43.196:5146
广州新闻,http://xiaozeng.aweitv.top/tv/gdtv.php?id=gznews_1500
山东卫视,http://[2409:8087:2801:22:100::66]/wh7f454c46tw381882336_1185517940/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236159/index.m3u8?icpid=88888888&RTS=1717811206&from=5&hms_devid=307&online=1717811206&vqe=3$LR•IPV6『线路13』
东南卫视,http://58.41.27.144:18888/udp/239.45.1.121:5140$LR•IPV4『线路125』
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
深圳电视剧,http://219.128.40.245:4022/udp/239.77.1.177:5146
深圳卫视,http://1.203.184.43:4022/udp/225.1.8.43:8020$LR•IPV4『线路136』
埋堆堆_17,http://live.iill.top/huya.php?id=23865058
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002$LR•IPV4『线路23』
河北农民,http://hbzx.chinashadt.com:2036/zhibo/stream:hbnm.stream/playlist.m3u8
东方卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8?key=tvbox6_com&playlive=1&authid=0$LR•IPV4『线路91』
北京卫视,http://121.24.99.213:8090/hls/32/index.m3u8$LR•IPV4『线路164』
江苏-徐州云龙湖观景台西,https://gcalic.v.myalicdn.com/gc/ylh04_1/index.m3u8?contentid=2820180516001
辽宁卫视,http://219.159.147.195:9901/tsfile/live/1017_1.m3u8?key=txiptv$LR•IPV4『线路189』
西藏卫视,http://cdnzxrrs.gz.chinamobile.com:6060/PLTV/88888888/224/3221225668/10000100000000060000000000148281_0.smil/index.m3u8
CCTV8,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
鬼打鬼,https://vip.ffzy-play7.com/20221115/4476_05997c13/index.m3u8
河北卫视,http://27.10.76.220:8005/udp/225.0.4.174:7980$LR•IPV4『线路116』
CCTV6,http://220.164.192.48:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4『线路45』
CCTV2,http://alvin.ergotron.net:8000/udp/239.77.1.158:5146$LR•IPV4『线路64』
CCTV9,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000373/index.m3u8?IAS$LR•IPV6『线路15』
河北卫视,http://171.120.109.161:8085/rtp/226.0.2.178:9336$LR•IPV4『线路49』
咪咕体育,http://39.134.66.66/PLTV/88888888/224/3221225754/index.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
山东卫视,http://14.121.146.11:554/udp/239.77.1.142:5146$LR•IPV4『线路139』
